asin,0,1,2
B098MHBF23,-1.5573331599765055,-7.456365287411501,-27.50790410681105
B09H7Q4B74,0.08530071912547302,-5.338989235494666,-1.244058360673532
B09T66MSLN,-33.84493460953987,35.34597923782446,1.8288273185585293
B09TWSRMCB,-0.8172980219028784,-9.949368423925145,-3.1929718236448004
B09WQ218GR,39.79157760157179,28.701369723542697,1.8462680879459246
B09WRJJKXC,-0.7598276336061239,-7.798359742795565,-2.203929398743984
B0B1XQTZ1R,-0.3420101627585539,-5.758150711357766,-0.7775872411679411
B0BCQZP4SX,-0.1575875408045285,-8.554690448585426,-1.657648091436313
B0BFFJRB2S,-0.6305873078794969,-7.247672374226322,-0.8388542713212382
B0BWNW9G8X,-1.767299884229192,-11.943752737570941,33.747857887294
